         130222 function calls (122138 primitive calls) in 0.077 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        1    0.000    0.000    0.077    0.077 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:12(__new__)
       49    0.000    0.000    0.000    0.000 __init__.py:1286(debug)
       49    0.000    0.000    0.000    0.000 __init__.py:1530(getEffectiveLevel)
       49    0.000    0.000    0.000    0.000 __init__.py:1544(isEnabledFor)
        3    0.000    0.000    0.000    0.000 __init__.py:47(create_string_buffer)
       12    0.000    0.000    0.000    0.000 __init__.py:484(cast)
        1    0.000    0.000    0.000    0.000 __init__.py:488(string_at)
        1    0.000    0.000    0.000    0.000 __init__.py:537(__missing__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:672(keys)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:701(__len__)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:719(__iter__)
       37    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:879(__iter__)
     1034    0.000    0.000    0.000    0.000 _utils.py:13(is_used)
      576    0.000    0.000    0.001    0.000 _utils.py:16(register)
      550    0.000    0.000    0.001    0.000 _utils.py:24(deduplicate)
 1442/562    0.001    0.000    0.004    0.000 _utils.py:44(__str__)
1016/1014    0.000    0.000    0.001    0.000 _utils.py:54(get_reference)
        9    0.000    0.000    0.000    0.000 _utils.py:64(set_metadata)
      385    0.000    0.000    0.000    0.000 _utils.py:71(_stringify_metadata)
        9    0.000    0.000    0.000    0.000 _utils.py:76(<listcomp>)
       28    0.000    0.000    0.000    0.000 _utils.py:9(__init__)
      395    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
      395    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      395    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      395    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
      395    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
     3300    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
      406    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
     1127    0.001    0.000    0.003    0.000 abc.py:180(__instancecheck__)
  710/334    0.001    0.000    0.002    0.000 abc.py:196(__subclasscheck__)
        8    0.000    0.000    0.000    0.000 abc.py:243(get_cache_token)
       18    0.000    0.000    0.000    0.000 abstract.py:114(__repr__)
  286/249    0.000    0.000    0.000    0.000 abstract.py:117(__hash__)
  684/678    0.000    0.000    0.000    0.000 abstract.py:120(__eq__)
       18    0.000    0.000    0.000    0.000 abstract.py:123(__ne__)
       12    0.000    0.000    0.000    0.000 abstract.py:147(can_convert_from)
       46    0.000    0.000    0.000    0.000 abstract.py:154(is_precise)
        3    0.000    0.000    0.000    0.000 abstract.py:18(_autoincr)
        2    0.000    0.000    0.000    0.000 abstract.py:420(_literal_init)
        4    0.000    0.000    0.000    0.000 abstract.py:431(literal_value)
       18    0.000    0.000    0.000    0.000 abstract.py:435(literal_type)
        8    0.000    0.000    0.000    0.000 abstract.py:47(_intern)
